COD_CURSO;NOME_UNIDADE;COD_ESTRUTURADO;COD_DISCIPLINA;NOME_DISCIPLINA;PERIODO_IDEAL;CH;CH_TOTAL;TIPO_AULA;TIPO_DISCIPLINA;NUM_VERSAO;SIT_VERSAO;TOTAL_CH;TOTAL_CR;CH_TOTAL_CURSO;SIT_CURRICULO
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;ELC104;FUNDAMENTOS DE  INFORMATICA;1;15;60;Pr†tica;Obrigat¢ria;1992;INATIVO;2445;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;ELC104;FUNDAMENTOS DE  INFORMATICA;1;45;60;Te¢rica;Obrigat¢ria;1992;INATIVO;2445;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;ELC105;ALGEBRA PARA COMPUTACAO;1;60;60;Te¢rica;Obrigat¢ria;1992;INATIVO;2445;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;LTE222;LINGUA INGLESA INSTRUMENTAL I;1;60;60;Te¢rica;Obrigat¢ria;1992;INATIVO;2445;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;MTM101;CALCULO INFINITESIMAL I;1;30;75;Pr†tica;Obrigat¢ria;1992;INATIVO;2445;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;MTM101;CALCULO INFINITESIMAL I;1;45;75;Te¢rica;Obrigat¢ria;1992;INATIVO;2445;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;MTM144;ALGEBRA LINEAR E GEOMETRIA ANALITICA  I;1;15;60;Pr†tica;Obrigat¢ria;1992;INATIVO;2445;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;MTM144;ALGEBRA LINEAR E GEOMETRIA ANALITICA  I;1;45;60;Te¢rica;Obrigat¢ria;1992;INATIVO;2445;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;MTM170;ALGEBRA PARA COMPUTACAO;1;60;60;Te¢rica;Obrigat¢ria;1992;INATIVO;2445;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;ELC106;ALGORITMO E PROGRAMACAO;2;30;60;Pr†tica;Obrigat¢ria;1992;INATIVO;2445;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;ELC106;ALGORITMO E PROGRAMACAO;2;30;60;Te¢rica;Obrigat¢ria;1992;INATIVO;2445;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;ELC107;LOGICA DE PREDICADO;2;60;60;Te¢rica;Obrigat¢ria;1992;INATIVO;2445;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;LTE219;LINGUA INGLESA INSTRUMENTAL  I I;2;60;60;Te¢rica;Obrigat¢ria;1992;INATIVO;2445;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;MTM126;CALCULO INFINITESIMAL  I I;2;30;90;Pr†tica;Obrigat¢ria;1992;INATIVO;2445;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;MTM126;CALCULO INFINITESIMAL  I I;2;60;90;Te¢rica;Obrigat¢ria;1992;INATIVO;2445;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;MTM145;ALGEBRA LINEAR E GEOMETRIA ANALITICA  I I;2;15;60;Pr†tica;Obrigat¢ria;1992;INATIVO;2445;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;MTM145;ALGEBRA LINEAR E GEOMETRIA ANALITICA  I I;2;45;60;Te¢rica;Obrigat¢ria;1992;INATIVO;2445;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;ELC202;COMPUTADORES E SOCIEDADE;3;30;30;Te¢rica;Obrigat¢ria;1992;INATIVO;2445;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;ELC203;ESTRUTURA DE DADOS I;3;30;60;Pr†tica;Obrigat¢ria;1992;INATIVO;2445;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;ELC203;ESTRUTURA DE DADOS I;3;30;60;Te¢rica;Obrigat¢ria;1992;INATIVO;2445;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;ELC204;ORGANIZACAO DE COMPUTADORES;3;60;60;Te¢rica;Obrigat¢ria;1992;INATIVO;2445;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;FSC221;ELETRICIDADE E MAGNETISMO;3;90;90;Te¢rica;Obrigat¢ria;1992;INATIVO;2445;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;STC303;ESTAT÷STICA;3;60;60;Te¢rica;Obrigat¢ria;1992;INATIVO;2445;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;ELC205;ARQUITETURA DE COMPUTADORES;4;60;60;Te¢rica;Obrigat¢ria;1992;INATIVO;2445;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;ELC206;ESTRUTURA DE DADOS II;4;30;60;Pr†tica;Obrigat¢ria;1992;INATIVO;2445;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;ELC206;ESTRUTURA DE DADOS II;4;30;60;Te¢rica;Obrigat¢ria;1992;INATIVO;2445;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;ELC207;LINGUAGEM DE PROGRAMACAO;4;30;60;Pr†tica;Obrigat¢ria;1992;INATIVO;2445;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;ELC207;LINGUAGEM DE PROGRAMACAO;4;30;60;Te¢rica;Obrigat¢ria;1992;INATIVO;2445;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;ELC306;INTRODUCAO A ELETRONICA I;4;30;60;Pr†tica;Obrigat¢ria;1992;INATIVO;2445;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;ELC306;INTRODUCAO A ELETRONICA I;4;30;60;Te¢rica;Obrigat¢ria;1992;INATIVO;2445;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;MTM224;MêTODOS NUMêRICOS COMPUTACIONAIS;4;30;60;Pr†tica;Obrigat¢ria;1992;INATIVO;2445;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;MTM224;MêTODOS NUMêRICOS COMPUTACIONAIS;4;30;60;Te¢rica;Obrigat¢ria;1992;INATIVO;2445;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;ELC307;INTRODUCAO A ELETRONICA II;5;30;60;Pr†tica;Obrigat¢ria;1992;INATIVO;2445;133;2685;ATIVA
